¹	1789	1793	1797	1801	1805	1809	1813	1817	1821	1825	1829	1833	1837	1841	1845	1849	1853	1857	1861	1865	1869	1873	1877	1881	1885	1889	1893	1897	1901	1905	1909	1913	1917	1921	1925	1929	1933	1937	1941	1945	1949	1953	1957	1961	1965	1969	1973	1977	1981	1985	1989	1993	1997	2001	2005	2009	2013	2017	2021
130									13					32	27				25							41		32			31			35	13	12													8		21								1
131									39					20	23				5							19					18			52	12	17													3		12								7
132									58					11	22				6							59					37			14	12	25													6		13								29
133									49					21	8				5							43					86			20	4	25															10								13
134														26	31				13							21					24			30	29	21															9								22
135														45	86				46							26					25			18	26	17															11								6
136														80	36											32					48			7	30	21															17								6
137														28	30											33					56			19	31	12															23								3
138														28	17											31					38			29	18	12															10								12
139														24	53											24					10			13	27	21															19								24
140														60	12											40					20			9	27	16															2								9
141														13	16											26					24			23	10	17															11								8
142														23	28											18					47			24	5	2																							16
143														40	32											9					27			17	15	21																							10
144														19	15											32					13			11	40	38																							4
145														29	33											25					35			23	11	29																							38
146														26	12											44					11			10	3	27																							37
147														31	77											35					21			40	7	21																							5
148														31	21											21					66			7	5	5																							19
149														76	23											37					12				20	38																							18
150														34	41											6					17				7	16																							24
151														32	48											17					7				18	13																							4
152														59	75											27					54				9	5																							5
153														19	76											28					26				17	104																							13
154														47												27					13				11	35																							17
155														37												27					24				20	20																							5
156														11												15					15				12	29																							5
157														17												51					49				20	18																							4
158														40																	38				32	123																							31
159														14																	47				19	11																							20
160														42																	60				24	19																							12
161														12																					25	10																							63
162														24																					42	27																							13
163														56																					16	1																							33
164														33																					11	10																							10
165														23																					17	19																							3
166														44																					18	19																							
167														64																					25	21																							
168														40																					22	23																							
169														66																					47	10																							
170														38																					8	10																							
171														16																					8	10																							
172														50																					12	8																							
173														29																					31	12																							
174														64																					9	10																							
175														44																					25	5																							
176														15																					9	33																							
177														20																					20	19																							
178														9																					28																								
179														59																					17																								
180														20																					25																								
181														75																					14																								
182														23																					9																								
183														39																					7																								
184														62																					22																								
185														50																					8																								
186														35																					24																								
187														13																					17																								
188														27																					12																								
189														124																					15																								
190														59																					13																								
191														44																					49																								
192														50																					10																								
193														22																					11																								
194														47																					16																								
195														32																					20																								
196														23																					12																								
197														55																																													
198														28																																													
199														111																																													
200														43																																													
201														33																																													
202														6																																													
